Timestamp,Time_n,Event,Actual_T,Actual_H,Pred_T,Pred_H,Error_T,Error_H,Total_TX
2026-02-19 10:19:12,0.4300,RX,24.11,27.60,12.78,31.50,11.33,3.90,1
2026-02-19 10:20:12,0.4307,EST,,,29.09,21.71,,,1
2026-02-19 10:21:13,0.4314,EST,,,29.09,21.73,,,1
2026-02-19 10:22:13,0.4321,EST,,,29.09,21.74,,,1
2026-02-19 10:23:13,0.4328,EST,,,29.09,21.75,,,1
2026-02-19 10:24:13,0.4335,EST,,,29.09,21.76,,,1
2026-02-19 10:25:14,0.4342,EST,,,29.09,21.77,,,1
2026-02-19 10:26:14,0.4349,EST,,,29.09,21.79,,,1
2026-02-19 10:27:14,0.4356,EST,,,29.09,21.80,,,1
2026-02-19 10:40:53,0.4451,EST,,,21.30,19.73,,,0
2026-02-19 10:41:53,0.4458,EST,,,21.45,23.06,,,0
2026-02-19 10:42:53,0.4464,EST,,,21.45,23.19,,,0
2026-02-19 10:43:53,0.4471,EST,,,21.45,23.23,,,0
2026-02-19 10:44:54,0.4478,EST,,,21.44,23.26,,,0
2026-02-19 10:45:54,0.4485,EST,,,21.44,23.30,,,0
2026-02-19 10:46:54,0.4492,EST,,,21.44,23.33,,,0
2026-02-19 10:47:54,0.4499,EST,,,21.44,23.36,,,0
2026-02-19 10:48:54,0.4506,EST,,,21.43,23.40,,,0
2026-02-19 10:49:55,0.4513,EST,,,21.43,23.43,,,0
2026-02-19 10:49:56,0.4513,RX,20.97,27.14,21.43,23.43,0.46,3.71,1
2026-02-19 10:50:56,0.4520,EST,,,14.02,66.32,,,1
